feature,importance
load_rolling_4,0.29073165517549027
load_lag_1,0.18576994279896022
hour_sin,0.12476994641798413
hour_cos,0.06505943157622271
battery_soc,0.05502481223198757
power_deviation_kw,0.052485285817040254
load_lag_4,0.05226545808198218
solar_irradiance_wm2,0.04014938915383267
communication_latency_ms,0.03867748914412367
message_frequency_hz,0.027475845815520896
temperature_c,0.02542673834504413
renewable_kw,0.010431081089668918
load_rate_of_change,0.008064176785063033
day_of_week,0.006792026504177927
voltage_pu,0.006271059995439025
frequency_hz,0.005829281558580604
wind_speed_ms,0.004424100523310297
device_state_transition,0.00035227898557152937
